name_code	distribution
122666	South China Sea and off northeastern Taiwan.
122667	Off northeastern Taiwan.
122668	South China Sea, Kuroshio and off northeastern Taiwan.
122669	South China Sea, Kuroshio and off northeastern Taiwan.
122670	South China Sea, Kuroshio and off northeastern Taiwan.
122671	South China Sea, Kuroshio and off northeastern Taiwan.
122672	South China Sea and off northeastern Taiwan.
122673	Off northeastern Taiwan.
122674	South China Sea and off northeastern Taiwan.
122675	East and South China Sea and off northeastern Taiwan.
122676	East China Sea and off northeastern Taiwan.
310001	Collected in TAIWAN,NAN-TOU HSIEN; TAIWAN,TAIPEI HSIEN; TAIWAN,HUALIEN HSIEN
310002	Collected in TAIWAN,HUALIEN HSIEN
310003	Collected in TAIWAN,CHIA-I PREF, ALI-SHEN
310004	Collected in TAIWAN,YAN MING SHAN,YUNG-FOH LEE
310005	Collected in TAIWAN,TAIPEI PREF,WU-LAI
310006	Collected in TAIWAN,MIAO-LI PREF,HOU-LUNG
310007	Collected in TAIWAN,PING-TUNG PREF,SHIN-MEN
310008	Collected in TAIWAN,I-LAN PREF,LO-TUNG
310009	Collected in TAIWAN,I-LAN PREF, I-LAN
310010	Collected in TAIWAN, NAN-TOU HSIEN, TAI-CHUNG HSIEN, CHIA-I HSIEN
310011	Collected in TAIWAN,NAN-TOU PREF,Wu-sheh;TAIWAN,I-LAN PREF,TOU-CHENG
310012	Collected in TAIWAN,PING-TUNG PREF, Chao-chien;TAIWAN,TAI-CHUNG PREF,HSIN-SHEH
310013	Collected in TAIWAN,TAIPEI PREF,WU-LAI
310014	Collected in TAIWAN
310015	Collected in TAIWAN
310016	Collected in TAIWAN
310017	Collected in TAIWAN
310019	Collected in TAIWAN,PING-TUNG PREF,CHAO-CHOW
310020	Collected in TAIWAN,TAI-CHUNG PREF,HSIN-SHEH;TAIWAN,LAN-YU PREF,HUNG-TOU-TSUNG;TAIWAN,TAIPEI PREF,PING-LIN;TAIWAN,HUA-LIEN PREF,HUA-LIEN;TAIWAN,I-LAN PREF,I-LAN;TAIWAN,YAN MING SHAN,YUNG-FOH LEE
310021	Collected in TAIWAN,TAIPEI PREF,PING-LIN;TAIWAN,HUA-LIEN PREF,TUNG-MEN;TAIWAN,HUA-LIEN PREF,HUA-LIEN;TAIWAN,TAI-CHUNG PREF,HSIN-SHEH;TAIWAN,TAIPEI PREF,PEI-TOU;TAIWAN,HUA-LIEN PREF,CHI-AN
310022	Collected in TAIWAN,PING-TUNG PREF,CHAO-CHOW
310023	Collected in TAIWAN,HUA-LIEN PREF,HUA-LIEN; TAIWAN,CHANG-HUA PREF,PU-YEN; TAIWAN,TAIPEI PREF,ALI-LAO
314387	NE Taiwan
314388	NE Taiwan
314389	NE Taiwan; South Taiwan Strait
314390	NE Taiwan; South Taiwan Strait
315134	N Taiwan, 石門洞
315501	Lutao
316957	Taipei City and its vicinty (Kaburaki, 1922a); Mt. Ali.
380708	Distribnted Indo-Pacific from Red Sea to the Hawaiian and Tuamotu Islands, north to southern Japan, south to Lord Howe Island, Australia.
380709	Distributed western Pacific from Suruga Bay and the Kumanonada Sea in Japan to the Philippines. It is occasionally in northeastern Taiwanese waters.
380710	Distributed from India to the West Pacific.
380711	Extensively distributed from Japan to East China Sea, including Taiwan, Korea, China and northern Philippines.
380712	Extensively distributed from eastern Africa to French Polynesia, north to southern Japan and south to southern Pacific. Can be found in all rivers in Taiwan, more abundant in eastern portion.
380713	West Pacific.
380714	Indo-Pacific.
380717	Indo-Pacific.
380719	West Pacific‮ Its only found in southwestern waters in Taiwan.
380720	Mozambique channel. West Pacific, Hawaii, East Atlantic and tropical West Atlantic.
380721	Pacific.
380722	West pacific.
380723	West Pacific.
380726	West Pacific.
380727	West Pacific.
380730	West Pacific.
380731	Pacific.
380732	Indo-Pacific: Ryukyu Islands, Taiwan, Philippines, Marshall Islands, and Indonesia
380733	North western Asia: China and Taiwan.
380734	Northwest Pacific: off Taiwan and Okinawa, Japan.
380735	Indo-West Pacific: East Africa to the Philippines, Taiwan, China and Japan, south to New Guinea, Australia, Fiji.
380736	Indo-West Pacific: Red Sea, west coast of India, Sri Lanka, eastward throughout Indonesia northward to Japan, Korea, China and Taiwan, southward to northern Australia.
380737	Western Pacific: Taiwan and Japan to Western Australia and New South Wales.
380738	Indo-Pacific: Taiwan, Hawaiian Islands, Great Barrier Reef, Micronesia.
380739	Known only from the type locality, Nanwan, Kenting National Park, Hengchun, Ping-tung County, the southern-most County of Taiwan.
380740	Indo-Pacific: Red Sea and East Africa to the Society Islands, north to southern Japan and the Hawaiian Islands, south to Lord Howe Island; throughout Micronesia. Eastern Central Pacific: southern Baja California, Mexico and from Costa Rica to northern Col
380741	Indo-Pacific: Red Sea and East Africa to the Hawaiian, north to the Ryukyus, south to the Great Barrier Reef.  Taiwan: Kenting, Keelung, Chengkung, Hsiaoliuchiu.
380742	Taken off Taiwan, Samoa, Java, and Sri Lanka; recent specimens were taken by spear at 8 m and by longline at 20-30 m depth.
380743	Mariana Islands, Marshall Islands; north to Taiwan.
380744	Northwest Pacific: Taiwan and southern Japan. Southeast Pacific: Galapagos Islands.
380745	Indo-Pacific: Hawaiian, north to southern Japan. Taiwan.
380746	Indo-Pacific: north to Ryukyu Islands, Taiwan
380747	Indo-Pacific: Red Sea and East Africa, north to the Ryukyu and Hawaiian islands, south to the Great Barrier Reef.
380748	Western Pacific: Hawaii, Japan and Taiwan.
380749	Indo-Pacific: Japan, Taiwan, Hawaii.
380750	Indo-Pacific: Red Sea and East Africa, north to the Ryukyu and Hawaiian islands; throughout Micronesia.
380751	Indo-Pacific:South Africa to the Hawaiian, north to the Ryukyu and Taiwan, south to northern Australia.
380752	Ryukyu Islands, Philippines, and Taiwan.
380753	Indo-Pacific: Japan, Taiwan, Hawaii.
380754	Indo-Pacific: Red Sea and East Africa to Papua New Guinea, north to southern Japan, Taiwan, south to Australia.
380755	Indo-Pacific: Japan, Taiwan, Indonesia, China, Australia.
380756	Indo-Pacific: Red Sea and South Africa, north to the Ryukyu, Taiwan and Hawaiian islands.
380757	Indo-Pacific: Red Sea to Hawaiian Islands, north to Taiwan.
380758	Indo-West Pacific: Ryukyu Islands, Taiwan, and the Philippines.
380759	Indo-Pacific: Red Sea and East Africa, north to the Ryukyu and Hawaiian islands, south to the Austral Islands, throughout Micronesia.
380760	Northwest Pacific: southern Japan and Taiwan.
380761	Indo-Pacific: East Africa, north to Ryukyus, south to the southern Great Barrier Reef; throughout Micronesia.
380762	Indo-Pacific: East Africa, north to Japan, Taiwan, the Hawaiian Islands, south to the Australs; throughout Micronesia.
380763	Indo-Pacific: Red Sea and East Africa, Taiwan, Ryukyu and Hawaiian islands, Micronesia.
380764	Indian Ocean: Maldives. Pacific Ocean: Mariana islands and Papua New Guinea. Micronesia, Taiwan.
380765	Northwest Pacific: Japan and Taiwan.
380766	Northwest Pacific: From northern to eastern Taiwan and the Pescadore Islands.
380767	Indo-West Pacific: Red Sea, South Africa, Taiwan, Japan, Australia, east to Hawaii.
380768	Indo-Pacific: East Africa; north to the Hawaiian and Ryukyu Islands, Taiwan, south to Australia; throughout Micronesia
380769	Indo-Pacific: East Africa, Hawaiian Islands, Great Barrier Reef, Micronesia. Northwest Pacific: Taiwan, Japan.
380770	Western Pacific: southern Japan, Taiwan to the South China Sea, Australia and New Zealand.
380771	Indo-West Pacific: Taiwan, China, Japan and Indonesia.
380772	Northwest Pacific: Ryukyu Islands, Taiwan and South China Sea.
380773	Indo-West Pacific: southern Japan, Taiwan, China and Indonesia.
380775	Indo-Pacific: Red Sea and East Africa to the Hawaiian, north to the Ryukyus, Taiwan, south to the Great Barrier Reef; throughout Micronesia.
380777	Indo-Pacific: Red Sea and East Africa, north to southern Japan, Taiwan and the Hawaiian Islands, south to the southern Great Barrier Reef; throughout Micronesia.
380778	Pacific Ocean: southern Japan, Taiwan and the Hawaiian Islands.
380779	Indo-Pacific: East Africa, Japan, Taiwan, Philippines, Micronesia.
380780	Indo-Pacific, western Indian Ocean, Ryukyu Islands.
380781	Indo-Pacific: East Africa, southern Japan, Taiwan, Marianas and Marshalls in Micronesia.
380782	Indo-Pacific: East Africa, north to Taiwan, Philippines and Hawaiian Islands; Micronesia.
380783	Indo-West Pacific: Red Sea and East Africa to the western Pacific.
380784	Indo-Pacific: southern Japan, Taiwan, Micronesia and the Hawaiian islands.
380785	Indo-Pacific: East Africa, southern Japan, Taiwan, Great Barrier Reef, Micronesia.
380786	Tropical to temperate seas un the world.
380787	Western Pacific: Japan, Taiwan and the East China Sea to the South China Sea.
380788	Indo-West Pacific.
380792	West-pacific
380794	South Africa and West Pacifc.
380797	Indian and West pacific.
380799	South-western of Taiwan.
380803	West Pacific.
380807	Indo-pacific.
380811	Mozambic channel and South westen of Taiwan water.
380812	Indian Ocean and South Western of Taiwan waters.
380813	Northeastern waters of Taiwan.
380814	Southwestern of Taiwan waters.  .
380815	Northeastern of Taiwan Waters.
380816	Indian, Pacific and Atlantic.
380818	Indian, Pacific and Atlantic.
380819	Pacific coast of Japan southward from Okinawa Trough to Taiwan, Malaysia and the Chesterfield Islands. It found in northeastern Taiwanese waters.
380820	Taiwan, Japan, East and South China Sea. It found in southern Taiwanese waters.
380821	Distributed in the Indo-Pacific from Red Sea and East Africa to the Hawaii, the Samoan and Phoenix islands, north to southern Japan and the Ogasawara Islands, south to Queensland, Australia and New Caledonia. It is common in waters around Taiwan.
380822	Widely found in the Western Pacific from southern Japan south to northern Queensland, Australia. Has been collected close to the islands in Micronesia, Melanesia, Fiji and New Guinea. It is found in eastern and southern Taiwanese waters.
380823	Distributed in the Northwest Pacific including northern Taiwan,  southern Japan and the Korean Peninsula.
380824	Widely distributed in Indo-West Pacific including Java, Borneo, Sumatra, Sulawesi, Viet Nam, Singapore, New Britain, Hermit Island Group, Papua New Guinea, Solomon Islands, Hong Kong, and as far north as Japan. It is common in waters around Taiwan.
380825	Distributed in the Northwest Pacific including Taiwan and Ryukyu Islands. It is found in southern, northern and northeastern Taiwanese waters.
380826	Distributed in the Northwest Pacific including northern Taiwan and Japan.
380827	Around the coasts of Australia, probably throughout the Pacific Ocean as it has been collected as far north as Taiwan. It is found in southeastern Taiwanese waters.
380828	Widely found in warm waters of North Pacific, Indian, and Atlantic Oceans. It found in northeastern Taiwanese waters.
380829	Taiwan and southern Japan. It found in southern Taiwanese waters.
380830	Taiwan, Japan, Philippines, the Hawaiian Islands, and the Chesterfield Islands. It is a common species in Taiwan except eastern part.
380831	Distributed from southern Japan to the Philippines. It found in southern and northeastern Taiwanese waters.
380832	Distributed from southern Japan to the Philippines. Recorded from the Chesterfield Islands and the Indian Ocean waters of Indonesia. It found in southern and northeastern Taiwanese waters.
380833	Taiwan and Japan. It found in northeastern Taiwanese waters.
380834	Distributed in waters of Indo-West Pacific from Indonesia and northwestern Australia, and from southern Japan to the East China Sea. It found in southern and northeastern Taiwanese waters.
380835	Worldwide in tropical and temperate waters. It found in northeastern Taiwanese waters.
380836	Circumtropical in all oceans. It found in northeastern Taiwanese waters.
380837	Found in Western Pacific from Japan to Australia. It found in western, southern and northeastern Taiwanese waters.
380838	Known from Japan, northeastern Philippines, and southern Indonesia. It is a common species in Taiwan except eastern part.
380839	Widespread in the Indo-West Pacific from India to the Solomon Islands. It found in western and southern Taiwanese waters.
380840	Widespread in the West Pacific from the East China Sea to eastern Australia. It found in southwestern and northeastern Taiwanese waters.
380841	Widespread in the West Pacific from the East China Sea to eastern Australia. It found in southwestern and northeastern Taiwanese waters, and Penghu Is..
380842	Widespread in the Indo-West Pacific from East Africa, including the Red Sea, to Hawaii, Marquesan and Ducie islands, north to the Ryukyu and Ogasawara islands, south to the Great Barrier Reef, Lord Howe, and Rapa. It is common in waters around Taiwan.
380843	Widespread in the West Pacific from Mauritius to Hawaii, north to Japan south to Australia. It found in southwestern and northeastern Taiwanese waters, and Penghu Is..
380844	Widespread in the Indo-West Pacific from Red Sea and east coast of Africa (except Kenya), including Madagascar to the Persian Gulf, Arabian Sea, and further east to southeast Asia and Australia. It found in sourthern Taiwanese waters.
380845	Widespread in the Indo-West Pacific from Red Sea, Persian Gulf and East Africa to Japan, the Arafura Sea and the Great Barrier Reef. It is common in waters around Taiwan.
380846	Widespread in the Indo-West Pacific from Gulf of Aden and East Africa to the Hawaiian and Gambier islands, north to the Ogasawara Islands, south to the Great Barrier Reef. It found in southwestern and southern Taiwanese waters.
380847	Widespread in the Indo-Pacific from Red Sea to the Hawaiian, Line, Marquesan, and Tuamoto islands, north to Ryukyu Islands, south to Lord Howe. It found in Siao Liouciou, Pingtung county, southweastern Taiwanese waters; and Lanyu, Taitung county, southeas
380848	Widespread in the Indo-West Pacific from East Africa to Hawaii,north to Japan, south to Chesterfield Islands, eastern Australia, northern New Zealand. It found in sourthern Taiwanese waters.
380850	Distributed in Japan and Taiwan. It found in southern Taiwanese waters, and Penghu Is..
380851	Distributed in tropical and subtropical coastal waters of Indo-West Pacific from Red Sea and Mozambique to the Andaman Sea and southern Japan, south to Arafura Sea and New Caledonia. It very rare and only found in southern Taiwanese waters.
380852	Widespread in the Indo-Pacific from East Africa to the Line, Marquesan, and Society islands, north to the Japan, south to Australia. It found in southern Taiwanese waters, and Penghu Is..
380853	Widespread in the Indo-West Pacific from Red Sea to India and Andaman Sea, eastward to southern Japan and southwards to Australia. It found in southern and northeastern Taiwanese waters.
380854	Distributed in Maldives and from Taiwan to the Great Barrier Reef. It very rare and only found in Penghu Islands.
380855	Found on Japan to Hawaii. It found in southern and northeastern Taiwanese waters.
380856	Widespread in the Indo-West Pacific from Red Sea and East Africa to the Hawaiian, Line, Marquesan, and Ducie islands, north to the Ryukyu Islands, south to the Lord Howe, Kermadec and Rapa islands; throughout Micronesia. It found in southwestern, southern
380857	Worldwide in tropical and warm temperate waters with the exception of the eastern Pacific and the northeast Atlantic north of Cape Blanc, Africa. It is a common species in Taiwan except eastern part.
380858	Taiwan, Japan, Korea, China and Viet Nam. Reported from the middle Nam Theun, Mekong, Irrawaddy, Salween, Red River and Nanpangjiang in basins. Introduced in Iran and Turkmenistan. It is found in northern and central Taiwan.
380859	Worldwide distribution in tropical and warm temperate waters. It is common in waters around Taiwan.
380860	Widely distributed in the Indo-Pacific from  East Africa to the Hawaiian and Tuamoto islands, north to the Ogasawara Islands. Throughout Micronesia. It is found in eastern and southern Taiwanese waters.
380861	Distributed in the Northwest Pacific from Japan to Taiwan. It is found in western Taiwanese waters, and Penghu Is..
380862	Widespread within the Indo-West Pacific from Somalia and Tanzania to Durban, South Africa east to Pakistan, India, Sri Lanka and southeast Asia to New Guinea, Australia, and the Philippines. Reported from southern China. It is common in waters around Taiw
380863	Widely distributed in the Indo-West Pacific from the Persian Gulf along the coasts of Pakistan, India, and Sri Lanka, then extending to southern China, the Philippines, and northern Australia. It is common in waters around Taiwan.
380864	Indo-Pacific: East Africa to the central and south Pacific. Eastern Central Pacific: oceanic islands such as the Revillagigedo, Clipperton and Cocos. It is common in waters around Taiwan.
380865	Widely distributed in the Indo-West Pacific from Red Sea and South Africa to French Polynesia, north to Japan, south to New South Wales, Australia. It is common in waters around Taiwan.
380866	Distributed in the northern Indian and western Pacific oceans from East Africa to Solomon Islands. It is found in eastern and southern Taiwanese waters.
380867	Only known found in the Northwest Pacific, including southern Japan and Taiwan. It is found in eastern and southern Taiwanese waters.
380868	Widely distributed in the Western Pacific from Viet Nam to Solomon Islands; north to southern Japan; and south to northern Australia. It is mainly found in eastern and southern Taiwanese waters.
380869	Distributed in the Indian and Pacific oceans from Somalia and Madagascar to Revillagigedos and Galapagos islands in the eastern Pacific. It is found in eastern and southeastern Taiwanese waters.
380870	Indo-West Pacific: Red Sea and South Africa to southern Japan, Taiwan, Mariana, Caroline and Solomon islands, Queensland and the Arafura Sea. Western Atlantic: New Jersey, USA and northern Gulf of Mexico to Rio de Janeiro, Brazil. Eastern Atlantic: Guinea
380871	Widely distributed in tropical waters, including the Ryukyu Islands and Taiwan. Also in the eastern Pacific. It is found in southeastern and southern Taiwanese waters.
380872	Distributed in the eastern Indian and western Pacific oceans from Andaman Sea to Samoa; north to southern Japan. It is rare and only found in southern Taiwanese waters.
380873	Widely distributed in the Indian and western Pacific oceans from Gulf of Aden to 140°E. It is found in eastern and southern Taiwanese waters.
380874	Distributed in the Pacific Ocean from southern Japan, Philippines, and Queensland (Australia) to Hawaii and Tahiti. It is found in eastern and southern Taiwanese waters.
380875	Widespread in the Indian and Pacific oceans, from East Africa to Hawaii and Tuamotu Islands, probably absent from the inland seas of southeast Asia; separate population in the eastern tropical Pacific at Soccora Island, Mexico, including Revillagigedo Isl
380876	Distributed in the Indian and western Pacific oceans from Gulf of Aden and Madagascar to southern Japan, New South Wales (Australia), and Fiji. It is rare and found in southeastern Taiwanese waters, and Penghu Is., western part.
380877	Widespread in the tropical Indian and western Pacific oceans from East Africa to southern China, Solomon islands, and Queensland (Australia). It is found in north, eastern and southern Taiwanese waters, and Penghu Is..
380878	Widespread in the tropical Indian and western Pacific oceans from East Africa to southern Japan and Queensland (Australia). It is found in sourtheastern and northern Taiwanese waters.
380879	Widespread throughout the tropical zone, from East Africa to Central America. It is very common in all Taiwanese waters.
380880	Widespread in tropical and subtropical zone of all oceans, probably absent in the inland seas of Southeast Asia. It is very common in all Taiwanese waters.
380881	Distributed in the Indian and western Pacific oceans from the Arabian Sea to southern Solomon Islands, and New South Wales (Australia). It is very common in all Taiwanese waters.
380882	Subtropical waters of all oceans. Eastern Atlantic: occasional to Spain and English Channel, western Mediterranean (a separate population migrates to the southeastern part in winter), Portugal to Mauritania and from south of Namibia; also off the Cape, So
380883	Widespread in tropical zone of all oceans, probably absent in the inland seas of Southeast Asia. It is found in eastern and southern Taiwanese waters.
380884	Widespread in the Indian and Pacific oceans from East Africa to southern Japan, Hawaii, Queensland (Australia), and Marquesas Islands; separate population in the eastern tropical Pacific (Bay of Panama). It is a common species in Taiwan except northern pa
380885	Widespread in the Indian and Pacific oceans from East Africa, including the Red Sea and the Persian Gulf, to southern Japan, Marshall Islands, Fiji, and Queensland (Australia). It is found in eastern and southern Taiwanese waters.
380886	Widespread in the Indian and Pacific oceans from East Africa to Okinawa, and Fiji. It is rare and only found in southeastern Taiwanese waters.
380887	Widely distributed in the Indo-Pacific from Red Sea and East Africa to Hawaii and Tonga, north to southern Japan, south to Australia, New Zealand and Kermadec Islands. Eastern Pacific: southern California, USA to Ecuador, including the Galapagos Islands.
380888	Widely distributed in the Indo-West Pacific from Red Sea and East Africa to Samoa, north to the Ryukyu Islands, south to northern Australia and New Caledonia. Migrated to the eastern part of the Mediterranean Sea via the Suez Canal. It is a common species
380889	Widely distributed in the Indo-West Pacific from Indonesia, Philippines, and New Guinea; north to southern Japan, and east to Marcus Islands, the Gilbert Islands, and Samoa. It is common in waters around Taiwan.
380890	Widely distributed in tropical and subtropical waters of Indo-Pacific from Seychelles through the East Indies, Borneo, Philippines, and New Guinea north to Hong Kong and Okinawa and eastward as far as Tuamoto Islands. It is common in waters around Taiwan.
380891	Northwest Pacific: restricted to the temperate zone in coastal waters of continental China (from Peitaho in Liaotung Bay to Hong Kong), Taiwan, and Korea. It is found in western and northern Taiwanese waters.
380892	Distributed in the northwest Pacific from Honshu, Japan and the northern part of the Yellow Sea south to southern China, including Taiwan. It is found in northern Taiwanese waters.
380893	Extends from the Persian Gulf to China along the mainland coast of Asia. It is found in eastern and southern Taiwanese waters.
380895	known only from the type specimens from Taiwan. It is found in Danshuei River, northern Taiwan.
380896	known only from the adjacent waters of Okinawa islands and Taiwan. It is found in eastern Taiwanese waters.
380897	widespread in warmer waters from East Africa to Caroline Islands, New Guinea, New Britain and New Ireland. It is a common species in Taiwan except northern part.
380898	Indo-Pacific: East Africa to Tonga, north to southern Japan. Eastern Pacific: Mexico to Peru. It is found in eastern and northeastern Taiwanese waters.
380899	Distributed from Persian Gulf through Arabian Sea and Bay of Bengal through the Western Central Pacific north to Taiwan and Hong Kong and east to New Guinea and northern Australia. It is found in eastern Taiwanese waters.
380900	Distributed in the Indo-West Pacific from India, Malay Peninsula, East Indies, Philippines, Hainan Island in China, Taiwan, New Guinea to northern Australia. It is found in southern Taiwanese waters, and Penghu Is., weastern part.
380901	Distributed in the Indo-West Pacific from Andaman Islands, New Guinea, the East Indies and the Admiralty, Solomon, and the Ryukyu Islands. Reported from the estuaries along the Cambodian coast. It is found in western and southern Taiwanese waters.
380902	Pacific Ocean: Philippines and Indonesia to the Tuamoto Islands, north to southern Japan, south to the Great Barrier
380903	Northwest Pacific: Japan. Also known from the Western Indian Ocean.
380904	Circumglobal, excluding the northeast Pacific and Mediterranean Sea.  Western Atlantic: Gulf of Maine to the Gulf of Mexico  Eastern Atlantic: off southwestern Europe and the Canary Islands   to South Africa. Indo-Pacific: East Africa  to Japan, Hawaii, A
380905	Western Indian Ocean. Western Pacific: recently recorded Japan and New Caledonia.
380906	Northwest Pacific: endemic to Taiwan
380907	Eastern Atlantic: Guinea Bissau to Angola. Western Atlantic: eastern Florida, Gulf of Mexico, the Caribbean and northern Brazil. Indian Ocean: Mozambique, Madagascar, and Western Australia. Pacific: Indonesia, South China Sea, and Kyushu-Palau Ridge
380908	All oceans from temperate to tropical waters. Eastern Atlantic: Iceland and British Isles to South Africa including Canary Islands and Ascension Island Not recorded from the Mediterranean
380909	Indo-Pacific: East Africa south to Natal, South Africa and east to the Society Tuamoto and the Line islands, north to the Ryukyu Islands, south to the Great Barrier Reef. Throughout Micronesia. It has not been reported from the Red Sea, Gulf of Aden, Oman
380910	Indo-Pacific and Eastern Pacific: East Africa south to Natal, South Africa (but not from the Red Sea) and east to the Clipperton, Cocos and Galapagos islands, north to the Ryukyu Islands and south to the Great Barrier Reef, Norfolk Island, and Lord Howe I
380911	Indo-West Pacific.
380912	Indo-Pacific: scattered records from Natal, South Africa to Samoa and Hawaiian Islands, north to southern Japan and the Ogasawara Islands, south to Queensland, Australia.
380913	Northwest Pacific: Taiwan.
380914	Northwest Pacific: appears to be endemic in Taiwan and Japan.
380915	Indo-Pacific: East Africa south to Natal, South Africa (except Red Sea, Gulf of Aden, Persian Gulf, Indian coast) and east to French Polynesia and the Hawaiian Islands; north to Tosa Bay, Shikoku (Japan), south to the Great Barrier Reef and Lord Howe Isla
380916	Indo-Pacific: Red Sea (including the Gulf of Oman) and East Africa to Oceania.
380917	Indo-Pacific: East Africa to the Marquesas and Mangar&#233;va Islands, north to Ryukyu Islands, south to New Caledonia. Marshall and Mariana Islands in Micronesia.
380918	Indo-Pacific: East Africa to Tuamoto Islands, north to the Ryukyu Islands, south to New Caledonia and the Austral Islands; throughout Micronesia.
380919	Indo-Pacific: Mascarene Islands and Seychelles to French Polynesia and the Hawaiian Islands. Also known from Japan, New Caledonia, Marquesas and the Tuamoto Islands; throughout Micronesia.
380920	Indo-Pacific: Mauritius, Reunion, and the Comoros; southern Japan, Indonesia, Australia, American Samoa, Hawaii, Marquesan Islands. Guam in Micronesia.
380921	Indo-Pacific: East Africa to the Tuamoto Islands, north to the Ryukyu Islands, south to New Caledonia. Throughout Micronesia.
380922	Indo-Pacific: Red Sea and East Africa to the Marquesan and Ducie islands, north to southern Japan and the Ogasawara and Hawaiian islands, northern Australia and Lord Howe Island. Throughout Micronesia.
380923	Western Indian Ocean: Reunion. Central Pacific: Tutuila Island, American Samoa.
380924	Indo-West Pacific: southern Japan to the Andaman Islands, and Australia. Also known from Fiji and Tuvalu.
380925	Indian Ocean: Reunion and northwestern Australia.  Weston Pacific: Indonesia and New Guinea, north to the Ryukyu Islands, south to northern Australia.
380926	Northwest Pacific: Taiwan.
380927	Indo-Pacific: East Africa to Hawaii, north to southern Japan, south to Lord Howe; throughout Micronesia. Eastern Pacific: Easter Island.
380928	Indo-Pacific: Red Sea and East Africa (south to the latitude of the Xora River, South Africa) to the Marshall Islands and French Polynesia. Throughout Micronesia.
380929	Western Pacific: Indonesia (including Mentawai Islands), Philippines, Solomon Islands, and Great Barrier Reef. Also reported from Malaysia, Tosa Bay, Japan, and Viet Nam.
380930	Indo-Pacific: Red Sea and East Africa to the Hawaiian and Pitcairn islands, north to the Ryukyu and Ogasawara islands, south to northern Australia and Lord Howe Island. Throughout Micronesia.
380931	Pacific Ocean: southern Japan to New Caledonia, Hawaii and Pitcairn.
380932	Indo-Pacific: Red Sea and Natal, South Africa. to the Marquesan Islands, north to southern Japan and the Ogasawara Islands, south to New South Wales, Australia.
380933	Indo-Pacific: Red Sea, Zanzibar (Tanzania), Aldabra and Seychelles to the Marshall Islands and American Samoa, north to Taiwan, southern Japan and the Ogasawara Islands, south to the southern Great Barrier Reef and the Chesterfield Islands. Replaced by Sa
380934	Indo-West Pacific: East Africa south to Mozambique (but not the Red Sea) and east to the Marshall, except the northern Marshalls  and Society islands.
380935	Indo-Pacific: Red Sea and Algoa Bay, South Africa to the Hawaiian and Easter islands, north to southern Japan and the Ogasawara Islands, south to northern Australia and the Austral Islands. Throughout Micronesia.
380936	Indo-West Pacific: Red Sea to the western Pacific where it ranges from southern Japan to New Caledonia and New South Wales, Australia. Not yet recorded from the east coast of Africa or any oceanic island in the western Indian Ocean. Invaded eastern Medite
380937	Indo-Pacific: Red Sea and East Africa to the Hawaiian and Ducie islands, north to southern Japan, south to Australia; throughout Micronesia. Of course Include Taiwan.
380938	Northwest Pacific: southern Japan to Taiwan; also reported from Hawaii.
