name_code	diagnosis
315500	Shell, white, cylindrical with apex, truncated and shelly bluntly plugged has 4 mature whorls, slightly convex with sutures, deep and undulate. It has less ribs and broader interstices in sculpture than all the above Truncatella species; about 20 ribs on
315501	Shell, small, yellowish-white to reddish orange, cylindrical, non-umbilicate has apex truncated and shelly blunt plugged. It has 3+ mature whorls, flatly convex with sutures, shallowly impressed. It is sculptured of ribs, slightly flexous from suture to s
316289	Shell, biconic; 11 mature whorls, convex and sutures, impressed; subsutural cord, narrow and undulate; sulcus, concave with numerous spiral threads; sculpture of rounded axials from sulcus to sutures and to the bottom, stronger at periphery overriding spi
316291	Shell, elongate biconic; 11 mature whorls, shouldered; sulcus, concave with numerous spiral threads; sculpture of short rounded axials; 9 on penultimate whorl; spiral cords, dominant from the middle of body whorl to the botton; subsutural cord, angulate.
316327	Shell, 10.5x4.2 mm, sub-transparent tannish colored. Sculpture is spirally threaded with axially striae but cancellate at earlier whorls. Its aperture is ovate with sinus, reversed L-shape. Its protoconch has 2 whitish, smooth whorls.
316427	Shell, 5.5x1.8 mm, almost the same as Kermia maculosa (Brazier) but the brown on ribs extends from suture to suture whereas on Kermia maculosa the brown does not cross the subsutural area. According to Pilsbry (1904), its protoconch is trochiform of 2-1/
316436	Shell, 5.5x1.8 mm, almost the same as Kermia maculosa (Brazier) but the brown on ribs extends from suture to suture whereas on Kermia maculosa the brown does not cross the subsutural area. According to Pilsbry (1904), its protoconch is trochiform of 2-1/
380708	Body moderately elongate, fusiform, slightly compressed. Eye large. Snout conical, projecting well beyond lower jaw. Mouth small, inferior, gape not reaching anterior margin of eye; a small gular plate present between arms of lower jaw, but small and inconspicuous. Teeth small, granular, in patches on jaws and on roof and floor of mouth; tooth patches on parasphenoid and basibranchial bones more broadly oval in shape, average width/length 0.38 and 0.45, respectively; number of teeth in pharyngobranchial tooth patch usually 5-15. Branchiostegal rays about 10 to 15. Gill rakers rudimentary, consisting of small patches of minute, villiform teeth. All fins without spines; dorsal fin located at about midbody, with about 15-19rays; anal fin with 8-9 rays, located well behind dorsal fin; caudal fin deeply forked; pectoral fins low on side of body, near ventral outline; pelvic fins abdominal, located under posterior part of dorsal fin. Scales small, about 70 to 80 along lateral line. Body bluish green dorsally, often with several faint saddles of slightly darker colour; silvery on sides, with several faint, narrow, longitudinal lines; belly white; a spot of black pigment often present on the underside of snout, at least in smaller individuals.
380709	Body moderately elongate; tail slender and tapering to a point, often broken and regenerated. Head moderately deep to moderately elongate, somewhat compressed. Eye well developed. Snout projects beyond mouth, tapering to a rounded tip. Mouth relatively small. Teeth small, pointed, in a single row on premaxilla. Dorsal fin with 12-13 unsegmented spines, isolated from each other and not connected by a membrane; anal fin long, extending from just behind anus to tip of tail, anterior rays spinous, with 17-22; pectoral fins well developed, located on midside, a short but distinct distance behind gill opening; pelvic fins abdominal, slightly in front of anus; caudal fin absent. Scales small and overlapping, covering most of head and body. Lateral line complete, on dorsal half of body anteriorly, becoming midlateral on tail; canals and scales not notably enlarged. Body white to light grey; lining of mouth and branchial chamber black; no distinct markings or patterns.
380710	Head moderately compressed, shaped like a blunt awl. Mouth large and protractile. Lower jaw protruded, posterior end of upper jaw behind posterior margin of eye, both upper and lower jaw with teeth. Body cylindrical, elongated like a snake, posterior laterally compressed. Pectoral fin small; dorsal, anal and caudal fins united; dorsal fin origin closely near anal fin origin; distance between dorsal fin origin and anal fin origin shorter than 1﹪of total length; vertebrae 106-115. Plain colored, dark brown dorsally, white anteroventrally.
380711	Head moderately large, shaped like a blunt awl. Mouth large and protractile. Lower jaw protruded, posterior end of upper jaw behind posterior margin of eye, both upper and lower jaw with teeth. Body cylindrical, elongated like a snake, posterior laterally compressed. Scales small and cycloid, covered by mucus. Pectoral fin small; dorsal, anal and caudal fins united, dorsal fin origin at middle between posterior tip of pectoral fin and anus; vertebrate 100-110. Plain colored, dark brown dorsally, white anteroventrally.
380712	Head moderately large, shaped like a blunt awl. Mouth large and protractile. Lower jaw protruded, posterior end of upper jaw behind posterior margin of eye, both upper and lower jaw with teeth. Body cylindrical, elongated like a snake, posterior laterally compressed. Scales small and cycloid, covered by mucus. Pectoral fin small; dorsal, anal and caudal fins united; dorsal fin origin before middle between posterior tip of pectoral fin and anus; vertebrae 100-110. Body with irregular stripes composed of blotches, white anteroventrally.
380713	"Pectoral fin absent.Teeth conical, premaxillary teeth 2 rows; teeth of jaws 1 or 2 rows, vomerine teeth 2 rows, folded under upper jaws. Dorsal fin origin behind gill slits; anal fin behind the anus; anus on the 1/2 of the body.Total length 16.7 of body depth, 5.5 of the head length; caudal length 1.1 of the length from head to trunk; head length 7.1 of snout length; snout length 1.5 of the diameter of eye. Body short, cylindrical, tail compressed. Lower jaws than upper jaw. Tongue fixed. Rictusin advance of rear margin of the eye. Gill slit small or medium. Rear end of dorsal and anal fin unelevated. Posterior nostril lateral, along the anterior margin of the eye. Adult's lateral side spotted."
380714	Pectoral well developed, caudal present. No spots on upper and lower sides after rear margin of eye. Premaxillary teeth protrude when mouth closed. Rictus in advance of the middle of eye, or 1/2 of pectoral fin. Gill slit large; posterior nostril without flaps, fin rays unsegmented. Teeth conical, jaws’ teeth anterior 3-4 rows, posterior in one row; vomerine teeth anterior 2-3 rows, posterior in 1 row; premaxillary teeth connected with vomerine teeth. Dorsal fin origin above gill slit. Vertebrae 143. Total length 17.7 of body depth, 6.5 of head length; caudal length 1.3 of the length from head to trunk; head length 4.7 of snout length; snout length 1.1of diameter of eye; pectoral fin 2.1 of snout length.Eye large; snout short; tongue wide, free. Caudal compressed. Body brown, dorsal and anal black.
380717	Pectoral well developed, caudal present. No spots on upper and lower sides after rear margin of eye. Premaxillary teeth protrude when mouth closed. Rictus in advance of the middle of eye, or 1/2 of pectoral fin. Gill slit large; posterior nostril without flaps, fin rays unsegmented. Teeth conical,†jaws teeth anterior 3-4 rows, posterior in one row; vomerine teeth anterior 2-3 rows, posterior in 1 row; premaxillary teeth connected with vomerine teeth. Dorsal fin origin above gill slit. Vertebrae 143. Total length 17.7 of body depth, 6.5 of head length; caudal length 1.3 of the length from head to trunk; head length 4.7 of snout length; snout length 1.1of diameter of eye; pectoral fin 2.1 of snout length.Eye large; snout short; tongue wide, free. Caudal compressed. Body brown, dorsal and anal black.
380719	Pectoral fin well developed. Premaxillary teeth protude on tip of snout. Snout short. Preanal lateral-line pores less than 42, rictus till margin of eye. Posterior nostrils have flaps on the margin of lip. Unsegmented rays. Teeth conical; upper ja⁷s teeth in 2 rows, lower ja⁷s teeth anterior in 3 or 4 rows, Posterior in 2 rows,  premaxillary teeth vomerine teeth separated, vomerine teeth anterior in bands. Dorsal fin origin above gill slit. Vertebrae 125-127. Total length 14.4 of body depth, 6.6 of head length; caudal length 1.7 of the length from head to trunk; head length 6.3 of snout length; snout length 0.9 of the diameter of eye; pectoral-fin length 1.6 f snout length. Dorsal and anal fin white. Body blunt, eye large, head large. Rear of caudal compressed. Tongue fixed. Anus on posterior half. Upper part of body light brown, pale below.
380720	Pectoral fin present. Body long, eye large, snout blunt; rictus till the mid-eye.  (Indo-Pacific) or rear margin (Atlantic). Tail compressed, coudal well developed and black. Anus on the anterior half＠(40). Anterior nostril rear tip of snout, posterior nostril in advance of eye, no flaps; rear of caudal soft and slender. Segmented rays.  Upper lip unfolded. Premaxillary teeth protrude  out when mouth closed, jaw teeth canine, irregular in 2 rows, inner smaller than outer. Vomerine teeth canine 2. Dorsal fin origin behind the base of pectoral. Vertebrae 179-206. Total length 6.6-14.0 of body depth, 2.5-3.3 of head length; caudal length 1.5 of the length from head to trunk; head length 3.3-4.0 of snout length; snout length 1.9-2.4 of diameter of eye. Dorsal and anal fin confluent with caudal fin. Body white, slightly translucent, pale below; rear margin of dorsal, anal and caudal fin black.
380721	Pectoral fin small. Fin-rays segmented; upper lip folded. Rictus in advance of rear margin of eye. Teeth small, premaxillary teeth not protrude when mouth closed. Teeth conical; upper and lower ⁊aws teeth in a row; vomerine teeth conical, in short band. Dorsal fin origin above midpoint of pectoral. Vertebrae 138-145. Total length 18.4 of body depth, 7.9 of head length; caudal length 1.7f the length from head to trunk; head length 4.7 of snout length; snout length 2.0 of the diameter of eye; Pectoral length 1.7of snout length. Rear of caudal compressed. Anus on anterior half of body. Body brown.
380722	Pectoral fin well developed. Fin-rays segmented; upper lip folded with groove. Rictus in advance of rear margin of eye. Teeth small, premaxillary teeth not protrude when mouth closed. Teeth conical; upper and lower ⁊aws teeth in a row; vomerine teeth conical, in short band. Dorsal fin origin far behind tip of pectoral. Vertebrae 142-145. Total length 10.5 of body depth, 5.9 of head length; caudal length 1.3 of the length from head to trunk; head length 4.5 of snout length; snout length 2.0 of the diameter of eye; Pectoral lenhth 1.5 of snouth length. Rear of caudal compressed. Anus on anterior half of body. Body deep brown, pale below.   West Pacific.
380723	Pectoral fin well developed. Fin-rays segmented; upper lip folded with groove. Rictus in advance of rear margin of eye. White spots on lateral-line pores from head to body behind. Teeth small, premaxillary teeth not protrude when mouth closed. Teeth conical; upper and lower ⁊aws teeth in a row; vomerine teeth conical, in short band. Dorsal fin origin behind tip of pectoral. Vertebrae 142-148. Total length 10.5 of body depth, 5.9 of head length; caudal length 1.3 of the length from head to trunk; head length 4.5 of snout length; snout length 2.0 of the diameter of eye; Pectoral lenhth 1.5 of snouth length. Rear of caudal compressed. Anus on anterior half of body. Body brown, pale below.
380726	Body long and slender. Pectoral fin miniute. Upper lip folded on the tip of snont. Lower jaw longer than upper jaw. Premaxillary teeth small, conical, protrude when mouth closed. Rictus in advance of front margin of eye, jaw teeth in bands; vomerine teeth short. Dorsal fin rigin above tip of pectoral fin. Vertebrae 163-176. Total length 38-55 of body depth, 16-17 of head length; head length 10 of snout length; snout length 1.0 of the diameter of eye. Anus on the anterior half. Body gray, spots all over the body. Rear of caudal compressed, undeveloped. Three large black spot on the bill around, trunk and anus around.
380727	Pectoral fin well developed. Spots on the tip of snout. Preanal lateral-line pores less than 42. Snout short, rictus till margin of eye. Posterior nostrils have flaps on the margin of lip. Unsegmented rays. Teeth conical; upper jaw teeth in 2 rows, lower jaw teeth anterior in 3 or 4 rows, Posterior in 2 rows, premaxillary teeth and vomerine teeth  separated, vomerine teeth anterior in bands. Dorsal fin origin above gill slit. Vertebra 131-134. Total length 15.9 of body depth, 6.1 of head length; caudal length 1.5 of the length from head to trunk; head length 5.6 of snout length; snout length 1.1 of diameter of eye; pectoral-fin length 1.5 of snout length. Dorsal and anal fin white. Body blunt, eye large, head large. Rear of caudal compressed. Tongue fixed. Anus on the posterior half. Upper part of body light brown, pale below.
380730	Pectoral fin present. Preanal lateral-line pores 29-31. Posterior nostril no flaps. Rear ofcaudal soft and slender, segmented rays; candal developed. Upper lip unfoged. Upper jaw longer then lower. Premaxillary teeth protrude when mouth closed, Teeth conical，in bands not extending postor-iorly. Rictus till the mid-eye, Jaw teeth 2-3 2-3 rows. Vomerine teeth, Rictus till the mid-eye. Preaml lateral-line pores 29-31 in a round patch. Dorsal fin origin above gill slit. Vertebrae 155-159. Total length 18.5 of body depth, 8.5 of head length; caudal length 2.5 of the length from head to trunk; head length 5.4 of snout length; snout length 1.4 of the diameter of eye. Eye large. Caudal compressed and slender. Body light-brown.Margin of dorsal and anal black.
380731	Pectoral fin present, body long, eye large, rictus in advance of rear margin of eye, caudal compressed and attenuated. Anus on the anterior half. Posterior nostril without flaps. Segmented rays. Caudal well developed. Upper lips unfolded. Premaxillary teeth protrude out when mouth closed. Jaw teeth canine, in 2 rows, premaxillary teeth in 2  transverse rows, anterior row small and wide-arranged. Vomerine teeth canine 5 anteriorly, a row behind. Dorsal fin origin above the base of pectoral. Vertebra  203-206. Total length 19.8 of body depth, 7.2 of head length; caudal length 1.8 of the length from head to trunk; head length 3.3 of snout length; snout length 2.0 of diameter of eye. Dorsal and anal fin confluent with caudal. Tongue fixed. Body brown, pale below.     :
380732	Body very elongate, long rod-like. BD. 48.1, HL. 11.8 in TL. Tail length equal to half of head and trunk length. Snout L. 7.2 in HL. Eye diameter 2.7 in Snout L. Eye small, covered with skin. Anterior nostril tubular, situated at tip of snout. Posterior nostril just before eye. Mouth cleft beyond posterior margin of eye. Teeth conical, upper, lower jaw and vomer teeth uni-serial. 5 premaxillary teeth. Tongue fixed. Gill slit small, lateral. Anus situated at posterior portion of body. No scale. Origin of dorsal fin behind anus, above anal fin. Height of dorsal and anal fin lower, pectoral fin degenerated. Specimen in formalin, body pink.
380733	Body very elongate, long rod-like. BD. 39.8, HL. 9.2 in TL. Tail length is 0.6 of head and trunk length. Snout L. 9.8 in HL. Eye diameter 2.9 in Snout L. Snout blunt, short. Lower jaw protrude. Mouth cleft beyond posterior margin of eye. Teeth conical, upper, lower jaw and vomer teeth uni-serial. Tongue fixed. Anus situated at posterior portion of body. Origin of dorsal fin behind anus, above anal fin. Tail compressed. Specimen in formalin, dorsal body tan and ventral body yellowish.
380734	BD. 34-38, HL. 11-13 in TL. Eye 15-17, snout 2.1, gape 1.7 in HL. Tail about 0.45 in length of head and trunk. Body very elongate, tail tapering. Mouth corner extending to behind eyes. Lips without folds. Jaws projected, lower jaw shorter than upper where intermaxillary teeth exposed. Snout pointed, depressed, a notch behind intermaxillary teeth. Anterior nostrils slits, in middle of snout. Posterior nostrilsslits, wider than anterior one, in front of eyes. Tongue fixed. Teeth small, pointed.Jaws teeth in 3 rows, middle row little longer than other 2 rows, teeth of anterior part of lower jaw rather long. Vomer with a row of 9 rather larger canines, 2-3 small ones between each two. Premaxillary teeth a bunch of small canines. Gill openings small.ventral. Pectoral fin absent. Dorsal and anal fin elevated, confluent with caudal fin. Lateral lines present. Color is bright brown, the upper part of the head and back are darker than the belly. The peritoneum, gill and mouth cavities are dark, visible through the skin. The stomach is long, extends slightly behind the anus; 2.5 times the length of the head.
380735	Vertebrae: 128-141. Body robust and eel-shaped; snout long; eye diameter 3 times in snout length. Head narrower, interorbital width about 10 times in head; lateral-line pores before anus 33-39; dorsal-fin rays before anus 47-49. Posterior nostrils only slightly nearer to eye than to anterior nostrils; mouth very large; teeth generally large and conspicuous.
380736	Snout long, a notch near tip; eye diameter 2-2.5 times in snout length. Anterior nostrils in short tube, behind notch of snout, posterior nostrils much closer to eyes than to anterior nostrils. Mouth very large, upper jaw a little longer than lower; teeth generally large and conspicuous. Head broader, interorbital about 8 times in head; lateral-line pores before anus 44-47; dorsal-fin rays before anus 66-78; vertebrae 145-159. BD. 15-17, HL. 6 in TL. Eye 9, snout 3.5, gape 2 in HL. Tail 0.63-0.71 in length of head and trunk. Body sides silvery. Blackish brown in formalin. Vertical fin with broad black margins.
380737	BD. 20-21, HL. 5 in TL. Eye 9, snout 2.4, gape 1.6 in HL. Tail about 1.4 in length of head and trunk. Vomer without a median series of enlarged fangs; caudal fin reduced, tip of tail blunt; anus behind midlength. Color in formalin light brown, with minute dusky spots, darker above, paler below. Vertical fins with black margin. Pectoral fins whitish.
380738	HL 7-8, DGO 18-22, TR 2.7-2.8 in TL; Vert 96-100. Posterior nostril consists of two pores. Uniformly brown when fresh, darker dorsal area; pale brown head and abdomen. Yellowish tail tip when alive, turning white after death. Whitish oral cavity, cephalic lateral-line pores, posterior nostril and anus are whitish.
380739	<i>Cirrimaxilla</i> is distinguished from other genera of Muraenidae by having the following characters: many cirri on both jaws, lower jaw protruding, rim of posterior nostrils petal-like, hooked fang-like teeth, obscure branchial pore, and small adult size. <i>C. formosa</i> is characterized by having a relatively large mouth, sharp snout, shorter tail length, 132 total vertebrae, 76 preanus vertebrae, dorsal-fin origin above 114th vertebra, anal-fin origin below 117th vertebra, and body tawny with numerous brown tiger-like bands.
380740	HL 8.6-8.9, DGO 19.1-26.5, TR 2.6-2.7 in TL. 120-125 vertebrae. Yellowish anterior nostrils and iris. Yellowish or whitish body  with numerous fine vermiculated lines or small spots. 2 series of large, reticulated black spots sometimes reduced to star-like patterns on the body; 1 series along back, another series along the lower half of body.
380741	HL 6.5-7.5, DGO 12-17.8, TR 2.8-3.0 in TL; Vert 121-124. Yellowish anterior nostrils. Rows and number of teeth increase with age.  Body coloration of young fish: whitish with 25-30 wide black rings. While maturing, body will be mottled with little black spots between rings until becoming uniformly brown. A dark patch at the corner of mouth.
380742	A moderately stout dark moray with distinctive white to yellow spots and polygons on head, body and fins; anus behind mid-body, PA 1.75-1.91 in TL; head 6.46-8.04 in TL, and depth 10.2-16.1 in TL; teeth blunt and molariform, uniserial on upper jaw, triserial to biserial on lower jaw, and elongate patch of triserial to uniserial teeth on vomer; MVF 5-55-115.
380743	HL 7.0-8.0, DGO 14.5-17.1, TR 2.7-2.8 in TL; Vert 146-148. Uniformly brownish body; lower jaws, belly to the anus, paler.  Median fins slightly darker than body without yellow or white margin.  Sometimes a slightly speckled region between eye and gill opening.
380744	HL 6.8-7.5, DGO 13.6-17.5, TR 3.2-3.5 in TL, Vert 148-152. Ground color dark brownish body with 3 rows of moss-like golden-yellowish spots on both sides of the body. Numerous little spots about the head, lower abdomen and the space between large moss-like spots. Pale yellowish abdomen.
380745	HL 6.2-7.0, DGO 13.1-15.2, TR 3.3-3.5 in TL, Vert 125-129. Posterior nostrils thick, upward tubes, longer than anterior nostrils.  Color in formalin: brownish, body covered with numerous round, whitish and dark-margin spots; spots of lower trunk larger or fused with many white confluent crossbars on abdomen. Orange-reddish when fresh snout, lower part of head, and abdomen. Bluish cornea.
380746	HL 6.6-7.2, DGO 16.1-22.5, TR 2.8-3.7 in TL, Vert 143-147. Body coloration: uniformly brownish, paler at head, lower jaw and abdomen. Dark brownish with bright yellow to white margin median fins.
380747	HL 12.2-15.0, DGO 18-20, TR 1.76 in TL; Vert 132-137. Body elongate, trunk longer, tail shorter than head and trunk, wrinkled skin. Snout short, lower jaw slightly shorter than upper. Vertical fins unclear and hidden below the tough skin. Brown to blackish body, encircled with 43-76 creamy-white narrow rings. Some rings incomplete.
380748	HL 8.5-8.6, DGO 13.6-14.8, TR 2.3-2.4 in TL, Vert 185-189. Body elongated; head and trunk are longer than the tail. Uniformly light brownish body, black-brownish median fin outer layers, bright whitish fin margin; paler snout and abdomen; yellowish iris; jaw pores, whitish snout tip; yellowish posterior nostrils.
380749	HL 6.6-7.7, DGO 12.1-14.6, TR 2.9-3.0 in TL, Vert 136-140. Ground color body with numerous wavy, thick, blackish or blackish brown bars; head and thick bar interspaces covered with thin blackish brown network. Blackish corner of mouth and inner mouth lings coloration similar to body coloration. Anal fin has a broad blackish base and whitish margin; yellowish iris when alive.
380750	HL 7.1-7.5, DGO 12.7-17.1, TR 2.9-3.2 in TL, Vert 111-120. Body size small, rarely exceeding 33 cm TL. Brownish body, lower jaw and abdomen paler, with several rows of longitudinal dark-brownish dots, whitish interspaces diminish toward the tail tip. Caudal fin margin, yellow-greenish posteriorly. Black-brownish ocular posterior area, supraorbital pores, and median fins.
380751	HL 7.0-8.3, DGO 12.9-17.0, TR 2.9-3.4 in TL, Vert 124-128. Body size medium, rarely exceeding 52 cm. Very variable body color, ground color from pale yellowish to brownish; with numerous irregular dark-brownish bars across the body, some bars connected and some separate. Each jaw pore within a whitish spot; posterior part of each side of lower jaw has a large white spot; blackish mouth corner.
380752	HL 8.9-9.9, DGO 25.6-26.3, TR 3.0-3.2 in TL, Vert 132-135. Jaws blunt, tail thin. Ground color yellow-brownish body, with 12-13 complete blackish  cross bands which have paler whitish edges. Many round blackish spots of different size scattered in cross band interspaces and head; chin has thick blackish band; yellowish iris with blackish cross-spots.
380753	HL 7.1-8.8, DGO 10.4-17.3, TR 2.9-3.4 in TL, Vert 124-127. Jaws slightly curved. Dark-brownish body, with numerous yellow-whitish dots, density increases with proximity to head; several rows of black-brownish dots on body side. Orange iris; whitish anterior nostril root, jaw pores and tail tip margin.
380754	HL 7.2-7.5, DGO 10.8-15.9, TR 2.7-3.1 in TL, Vert 139-141. May attain approximately 175 cm TL. Ground color whitish or pale to light brownish with numerous rounded or polygonal blackish spots on the body. Spot pattern very variable; spots of jaws and head less regular in shape and very numerous, more sparse on belly, frequently with light whitish margin around the spot; spot number increases with age but spot size remains almost constant.
380755	HL 6.7-7.1, DGO 14.0-20.0, TR 2.9-3.4 in TL, Vert 131-133. Jaws pointed, elongated and slightly curved. Ground color of body from yellowish white to brownish; each body side with numerous, blackish brown spots in 3-4 longitudinal rows; head and abdomen speckled with many small blackish dots in large individuals. Posterior fin has blackish brown comb-like bands. Body spot variations occur in some individuals, large spots may link vertically forming several wavy bars.
380756	HL 7.5-7.8, DGO 15.0-17.2, TR 2.9-3.2 in TL, Vert 129-137. Brownish body, covered with numerous dark-brownish spots; gill opening in a blackish patch; blackish corner of mouth; bright yellow-greenish margin median fins.
380757	HL 7.4-8.2, DGO 13-15, TR 2.6-2.8 in TL, Vert 134-135. Head and trunk are almost equal to the tail. Uniformly light brownish body, paler snout and abdomen; iris a little yellowish. Upper, lower jaw and vomer teeth single series.
380758	HL 8.3; DGO 26.6, TR 2.8 in TL, Vert 114. Uniformly brownish body, with a paler head, abdomen, fins and posterior part of tail. Body size smaller, generally not exceeding 20 cm TL. Maxillary teeth bi-series.
380759	HL 7.5-7.8, DGO 14.4-17.7, TR 2.9-3.0 in TL, Vert 140-143. Body can attain great lengths. Brownish body, with many large irregular dark-brownish splotches, separated from each other by a paler net-like pattern; lower jaw and abdomen paler; blackish corners of mouth and gill openings.
380760	HL 7.6-7.7, DGO 11.0-13.9, TR 2.9-3.3 in TL, Vert 139-141. Body Camouflaging yellowish to brownish color, with numerous irregular, dendritic dark brownish bars across the body. Blackish mouth corner; anal fin has whitish margin.
380761	HL 7.2-7.4, DGO 24.4-27.0, TR 3.1-3.5 in TL, Vert 128-132. Jaws pointed and elongated. Ground color brownish body, with numerous yellowish white, star shaped spots in 3-5 vertical rows along the body; 5-8 large blackish brown spots behind ocular area and a whitish band just behind the eye; bright whitish cross-lines through the the upper head axis. Blackish anterior nostril. The lower jaw, chin, thorax and perhaps abdomen are all whitish in smaller individuals.
380762	HL 6.8-9.1, DGO 13-15.2, TR 2.8-3.1 in TL. Body smaller, uniformly yellowish when fresh. Body turns white-brownish quickly in formalin or alcohol.  Vertical blackish band  coneved iris.  Blackish gill openings. Lower part of head, abdomen and fin are all paler in alcohol.
380763	HL 7.4-8.1, DGO 11.4-13.9, TR 3.2-3.5 in TL, Vert 126-128. Dark red-brownish body, with numerous round, dark-edged, white spots; blackish anterior nostril and gill openings; whitish inner mouth skin and tail terminus.
380764	HL. 8.9, trunk 2.5, Tail 2.0, BD. 21.3 in TL. Plain brown moray that has a distinctive dark ring around each eye that extends backwards as a rectangular blotch. Whitish spots surrounding each mandibular pore around the mouth. Iris red. Margin of caudal and anal fin orange.
380765	HL 8.4-9.2, DGO 10.6-13.3, TR 2.5-2.6 in TL, Vert 142. Snout short and blunt; swollen thorax; slender tail. Reddish brown body with numerous small yellowish-white spots, even the inner mouth skin; spots on head more dense and yellowish when fresh; near the tail tip the spots decrease and nearly disappear. Fins darker but with a slight whitish margin; slightly blackish gill opening.
380766	Body length moderate. Dorsal fin moderately high, its origin started before the gill opening. Anus in front of mid-body point. Jaw teeth caniniform and almost uniserial. Body and fins darkish brown, scattering with numerous whitish snowflake-like patches. The skin of  peri-cranium area has many small whitish spots. Corner of mouth blackish. Anal fin margin white, edge of dorsal and caudal fin darkish.
